entry_date,country_icao_code,country_name,flt_daio,flt_o,flt_i,flt_c,flt_dai,flt_d,flt_a,flt_da,flt_i_excl_c
2026-01-01,LA,Albania,798,660,0,0,138,67,71,138,0
2026-01-02,LA,Albania,1010,828,0,0,182,93,89,182,0
2026-01-03,LA,Albania,978,810,0,0,168,83,85,168,0
2026-01-01,UD,Armenia,289,175,0,0,114,56,58,114,0
2026-01-02,UD,Armenia,371,247,0,0,124,64,60,124,0
2026-01-03,UD,Armenia,354,230,0,0,124,64,60,124,0
2026-01-01,LO,Austria,3430,2784,14,2,646,328,304,632,12
2026-01-02,LO,Austria,4195,3299,17,0,896,445,434,879,17
2026-01-03,LO,Austria,4129,3194,34,2,935,451,450,901,32
2026-01-01,EB,Belgium and Luxembourg,2897,2018,2,0,879,444,433,877,2
2026-01-02,EB,Belgium and Luxembourg,3182,2150,16,7,1032,508,508,1016,9
2026-01-03,EB,Belgium and Luxembourg,3153,2212,2,0,941,464,475,939,2
2026-01-01,LQ,Bosnia-Herzegovina,1302,1245,0,0,57,27,30,57,0
2026-01-02,LQ,Bosnia-Herzegovina,1465,1396,2,0,69,34,33,67,2
2026-01-03,LQ,Bosnia-Herzegovina,1452,1390,1,0,62,30,31,61,1
2026-01-01,LB,Bulgaria,2427,2271,2,0,156,75,79,154,2
2026-01-02,LB,Bulgaria,2748,2493,6,0,255,124,125,249,6
2026-01-03,LB,Bulgaria,2936,2663,5,0,273,132,136,268,5
2026-01-01,LD,Croatia,2084,1947,22,0,137,59,56,115,22
2026-01-02,LD,Croatia,2367,2188,26,0,179,77,76,153,26
2026-01-03,LD,Croatia,2323,2174,14,0,149,68,67,135,14
2026-01-01,LC,Cyprus,1166,972,4,4,194,95,95,190,0
2026-01-02,LC,Cyprus,1173,961,1,1,212,103,108,211,0
2026-01-03,LC,Cyprus,1234,1000,4,4,234,118,112,230,0
2026-01-01,LK,Czech Republic,1750,1419,2,0,331,163,166,329,2
2026-01-02,LK,Czech Republic,2091,1636,3,1,455,228,224,452,2
2026-01-03,LK,Czech Republic,2016,1649,4,1,367,184,179,363,3
2026-01-01,EK,Denmark,1252,655,39,1,597,283,275,558,38
2026-01-02,EK,Denmark,1549,757,61,2,792,363,368,731,59
2026-01-03,EK,Denmark,1434,761,36,1,673,322,315,637,35
2026-01-01,EE,Estonia,434,349,6,0,85,38,41,79,6
2026-01-02,EE,Estonia,441,347,8,0,94,42,44,86,8
2026-01-03,EE,Estonia,455,361,6,2,94,44,44,88,4
2026-01-01,EF,Finland,613,139,80,0,474,198,196,394,80
2026-01-02,EF,Finland,691,165,93,0,526,218,215,433,93
2026-01-03,EF,Finland,686,145,109,0,541,215,217,432,109
2026-01-01,LF,France,7862,4728,405,0,3134,1355,1374,2729,405
2026-01-02,LF,France,9048,5274,625,11,3774,1577,1572,3149,614
2026-01-03,LF,France,9210,5447,495,9,3763,1624,1644,3268,486
2026-01-01,UG,Georgia,689,512,0,0,177,88,89,177,0
2026-01-02,UG,Georgia,797,580,0,0,217,105,112,217,0
2026-01-03,UG,Georgia,771,589,0,0,182,93,89,182,0
2026-01-01,ED,Germany,6026,3044,179,1,2982,1429,1374,2803,178
2026-01-02,ED,Germany,7404,3503,263,5,3901,1814,1824,3638,258
2026-01-03,ED,Germany,7185,3540,247,2,3645,1706,1692,3398,245
2026-01-01,LG,Greece,1992,1373,196,1,619,214,209,423,195
2026-01-02,LG,Greece,2380,1500,294,2,880,286,300,586,292
2026-01-03,LG,Greece,2509,1713,259,4,796,278,259,537,255
2026-01-01,LH,Hungary,2528,2190,2,0,338,169,167,336,2
2026-01-02,LH,Hungary,2888,2482,0,0,406,201,205,406,0
2026-01-03,LH,Hungary,2969,2614,0,0,355,179,176,355,0
2026-01-01,EI,Ireland,1536,753,11,2,783,384,388,772,9
2026-01-02,EI,Ireland,1595,697,16,2,898,438,444,882,14
2026-01-03,EI,Ireland,1562,735,10,1,827,407,410,817,9
2026-01-01,LL,Israel,522,65,39,1,457,204,214,418,38
2026-01-02,LL,Israel,433,107,19,4,326,162,145,307,15
2026-01-03,LL,Israel,391,77,24,1,314,135,155,290,23
